Id	tvdbId	imdbId	seriesId	nameEn	nameRu	status	firstAired	network	seazons	lastEpisode	rating	lastShow	airedEpisodeNumber	episodeName
1	80379	tt0898266	58053	The Big Bang Theory	Теория большого взрыва	Continuing	2007-09-24	CBS	12	256	8.8	TBD	TBD	TBD
2	296762	tt0475784	194892	Westworld	Западный мир	Continuing	2016-10-02	HBO	2	22	8.9	TBD	TBD	TBD
3	161511	tt1586680	78143	Shameless (US)	Бесстыжие	Continuing	2011-01-09	Showtime	9	112	9	TBD	TBD	TBD
4	277165	tt2575988	3072410	Silicon Valley	Силиконовая долина	Continuing	2014-04-06	HBO	5	49	8.8	TBD	TBD	TBD
5	253463	tt2085059	81497	Black Mirror	Черное зеркало	Continuing	2011-12-04	Netflix	4	19	9	TBD	TBD	TBD
6	121361	tt0944947	121361	Game of Thrones	Игра престолов	Continuing	2011-04-17	HBO	7	107	9.5	TBD	TBD	TBD
7	302204	tt5135336	999999	The Method	Метод	Continuing	2015-10-18	Первый канал	1	16	7.8	TBD	TBD	TBD
8	338946	tt6586318	205155	Patrick Melrose	Патрик Мелроз	Ended	2018-05-12	Showtime	1	5	0	2018-06-09	5	Наконец
9	342040	tt7768848	999999	Wild Wild Country	Дикий Дикий мир	Ended	2018-03-16	Netflix	1	6	0	2018-03-16	6	Part 6
10	153021	tt1520211	999999	The Walking Dead	Ходячие мертвецы	Continuing	2010-10-31	AMC	9	173	9	TBD	TBD	TBD
11	328535	tt6470396	999999	Champions	Чемпионы	Ended	2018-03-08	NBC	1	10	6	2018-05-25	9	Opening Night
12	331821	tt6474236	999999	The Looming Tower	Призрачная башня	Ended	2018-02-28	Hulu	1	10	9	2018-04-18	10	11 Сентября
13	313999	tt4288182	200487	Atlanta	Атланта	Continuing	2016-09-06	FX (US)	3	22	8.5	TBD	TBD	TBD
14	340959	tt7016936	999999	Killing Eve		Continuing	2018-04-08	BBC America	1	8	8	TBD	TBD	TBD
15	257655	tt2193021	158560	Arrow	Стрела	Continuing	2012-10-10	The CW	7	156	8.2	TBD	TBD	TBD
16	280619	tt3230854	193822	The Expanse	Экспансия	Continuing	2015-11-23	Amazon	4	64	8.7	TBD	TBD	TBD
17	305288	tt4574334	999999	Stranger Things	Загадочные события	Continuing	2016-07-15	Netflix	2	24	9.2	TBD	TBD	TBD
18	279536	tt4270492	195793	Billions	Миллиарды	Continuing	2016-01-17	Showtime	3	44	8.6	TBD	TBD	TBD
19	273181	tt3032476	193443	Better Call Saul	Лучше звоните Солу	Continuing	2015-02-08	AMC	4	48	8.9	TBD	TBD	TBD
20	292157	tt3647998	999999	Taboo (2017)	Табу	Continuing	2017-01-07	BBC One	1	8	8.8	TBD	TBD	TBD
21	331980	tt5675620	999999	Marvel's The Punisher	Каратель	Continuing	2017-11-17	Netflix	1	13	9.5	TBD	TBD	TBD
22	270915	tt2442560	194585	Peaky Blinders	Острые козырьки	Continuing	2013-09-12	BBC One	5	28	9	TBD	TBD	TBD
23	332331	tt2261227	332331	Altered Carbon	Видоизмененный углерод	Continuing	2018-02-02	Netflix	1	11	8.4	TBD	TBD	TBD
24	295685	tt4052886	196146	Lucifer	Люцифер	Continuing	2016-01-25	Netflix	4	67	8.4	TBD	TBD	TBD
25	260449	tt2306299	176402	Vikings	Викинги	Continuing	2013-03-03	History	5	65	8.8	TBD	TBD	TBD
26	304262	tt5574490	304262	Animal Kingdom (2016)	По волчьим законам	Continuing	2016-06-14	TNT (US)	3	36	8.3	TBD	TBD	TBD
27	274431	tt3749900	193623	Gotham	Готэм	Continuing	2014-09-22	FOX (US)	5	111	8.4	TBD	TBD	TBD
28	328361	tt2452242	999999	Happy!	Хэппи!	Continuing	2017-12-06	Syfy	2	10	8.9	TBD	TBD	TBD
29	298566	tt4179452	194222	The Last Kingdom	Последнее королевство	Continuing	2015-10-10	Netflix	3	19	8.3	TBD	TBD	TBD
30	289079	tt3865236	27749	Into the Badlands	В пустыне смерти	Continuing	2015-11-15	AMC	3	38	8	TBD	TBD	TBD
31	328634	tt6470478	203695	The Good Doctor	Хороший доктор	Continuing	2017-09-25	ABC (US)	2	24	8.5	TBD	TBD	TBD
32	263365	tt2364582	183210	Marvel's Agents of S.H.I.E.L.D.	Агенты Щ.И.Т.	Continuing	2013-09-24	ABC (US)	6	129	8.5	TBD	TBD	TBD
33	281662	tt3322312	195188	Marvel's Daredevil	Сорвиголова	Continuing	2015-04-10	Netflix	3	39	8.8	TBD	TBD	TBD
34	75897	tt0121955	344	South Park	Южный парк	Continuing	1997-08-01	Comedy Central (US)	22	328	8.7	TBD	TBD	TBD
35	328552	tt4396630	203686	The Gifted	Одаренные	Continuing	2017-10-02	FOX (US)	2	21	7.8	TBD	TBD	TBD
36	308772	tt5197820	200582	Van Helsing	Ван Хельсинг	Continuing	2016-09-23	Syfy	3	39	6.7	TBD	TBD	TBD
37	250487	tt1844624	81011	American Horror Story	Американская история ужасов	Continuing	2011-02-06	FX (US)	8	94	8.4	TBD	TBD	TBD
38	75710	tt0452046	33484	Criminal Minds	Мыслить как преступник Continuing	2005-09-22	CBS	14	310	8.6	TBD	TBD	TBD
39	78901	tt0460681	30144	Supernatural	Сверхестественное	Continuing	2005-09-13	The CW	14	303	9	TBD	TBD	TBD
40	79168	tt0108778	71	Friends	Друзья	Ended	1994-09-22	NBC	10	242	9.1	2004-05-06	18	Финальный эпизод, Часть 2
41	75760	tt0460649	33700	How I Met Your Mother	Как я всетретил вашу маму	Ended	2005-09-19	CBS	9	219	8.9	2014-03-31	24	Last Forever (2)
42	76107	tt0056751	355	Doctor Who	Доктор кто	Ended	1963-11-23	BBC One	26	809	9.4	1989-12-06	14	Survival (3)
43	82459	tt1196946	75200	The Mentalist	Менталист	Ended	2008-09-23	CBS	7	153	8.7	2015-02-18	13	Белые орхидеи
44	73255	tt0412142	22374	House	Доктор Хаус	Ended	2004-11-16	FOX (US)	8	181	9.1	2012-05-21	22	Все умрут
45	71663	tt0096697	146	The Simpsons	Сипмсоны	Continuing	1989-12-17	FOX (US)	30	707	8.9	TBD	TBD	TBD
46	295777	tt4094300	999999	Crazy Ex-Girlfriend	Чекнутая бывшая	Continuing	2015-10-12	The CW	4	50	9.2	TBD	TBD	TBD
47	341663	tt1043813	999999	Titans (2018)	Титаны	Continuing		DC Universe	1	11	0	TBD	TBD	TBD
48	328687	tt6111130	203707	S.W.A.T. (2017)	Спецназ города ангелов	Continuing	2017-11-02	CBS	2	29	7.4	TBD	TBD	TBD
49	75978	tt0182576	348	Family Guy	Гриффины	Continuing	1999-01-31	FOX (US)	17	345	8.6	TBD	TBD	TBD
50	332028	tt7509270	999999	I Love You, America	Я люблю тебя, Америка	Continuing	2017-10-12	Hulu	1	19	7	TBD	TBD	TBD
51	351535		999999	House Arrest (2018)	Домашний арест	Continuing		ТНТ	1	12	0	TBD	TBD	TBD
52	289514		999999	Major (2014)	Мажор	Continuing	2014-12-15	Первый канал	2	24	8.8	TBD	TBD	TBD
53	350112	tt6840106	999999	Sparta	Sпарта	Continuing		Первый канал	1	8	0	TBD	TBD	TBD
54	82696	tt1124373	75303	Sons of Anarchy	Сыны анархии	Ended	2008-09-03	FX (US)	7	106	8.9	2014-12-09	13	Papa's Goods
55	262407	tt2375692	176817	Black Sails	Черные паруса	Ended	2014-01-25	Starz!	4	40	8.6	2017-04-02	10	XXXVIII
56	75299	tt0141842	314	The Sopranos	Клан Сопрано	Ended	1999-01-10	HBO	6	91	9.2	2007-06-10	21	Сделано в Америке
57	286970	tt4032214	999999	Chernobyl. Exclusion zone	Чернобыль, зона отчуждения	Continuing	2014-10-13	ТНТ	2	21	10	TBD	TBD	TBD
58	309235		999999	Policeman from Rublevka	Полицейский с рублевки	Continuing	2016-03-21	ТНТ	3	24	8	TBD	TBD	TBD
59	293372		999999	Zakon Kamennih Djunglei	Закон каменных джунглей	Continuing	2015-03-16	ТНТ	2	16	9.5	TBD	TBD	TBD
60	280619	tt3230854	193822	The Expanse		Continuing	2015-11-23	Amazon	4	64	8.7	TBD	TBD	TBD
61	121361	tt0944947	999999	Game of Thrones		Continuing	2011-04-17	HBO	7	107	9.5	TBD	TBD	TBD
62	280619	tt3230854	193822	The Expanse		Continuing	2015-11-23	Amazon	4	64	8.7	TBD	TBD	TBD
63	121361	tt0944947	999999	Game of Thrones		Continuing	2011-04-17	HBO	7	107	9.5	TBD	TBD	TBD
	305288	tt4574334	999999	Stranger Things		Continuing	2016-07-15	Netflix	2	24	9.2	TBD	TBD	TBD
	279536	tt4270492	195793	Billions		Continuing	2016-01-17	Showtime	3	44	8.6	TBD	TBD	TBD
	273181	tt3032476	193443	Better Call Saul		Continuing	2015-02-08	AMC	4	48	8.9	TBD	TBD	TBD
	71985	tt0330958	16207	Taboo		Ended	2003-02-01	National Geographic (US)	10	122	7.7	TBD	TBD	TBD
	270915	tt2442560	194585	Peaky Blinders		Continuing	2013-09-12	BBC One	4	27	9	TBD	TBD	TBD
	295685	tt4052886	196146	Lucifer		Continuing	2016-01-25	Netflix	4	67	8.4	TBD	TBD	TBD
	332331	tt2261227	332331	Altered Carbon		Continuing	2018-02-02	Netflix	1	11	8.4	TBD	TBD	TBD
	311790	tt5164196	199737	Lethal Weapon		Continuing	2016-09-21	FOX (US)	3	47	8.3	TBD	TBD	TBD
	260449	tt2306299	176402	Vikings		Continuing	2013-03-03	History	5	65	8.8	TBD	TBD	TBD
	272171		999999	Animal Kingdom		Ended	2011-06-07	ITV	1	10	0	TBD	TBD	TBD
	85527	tt1415175	999999	Yellowstone		Ended	2009-03-15	BBC Four	1	6	8.9	TBD	TBD	TBD
	274431	tt3749900	193623	Gotham		Continuing	2014-09-22	FOX (US)	5	111	8.4	TBD	TBD	TBD
	298566	tt4179452	194222	The Last Kingdom		Continuing	2015-10-10	Netflix	3	19	8.3	TBD	TBD	TBD
	289079	tt3865236	27749	Into the Badlands		Continuing	2015-11-15	AMC	3	38	8	TBD	TBD	TBD
	328634	tt6470478	203695	The Good Doctor		Continuing	2017-09-25	ABC (US)	2	25	8.5	TBD	TBD	TBD
	266189	tt2741602	183289	The Blacklist		Continuing	2013-09-23	NBC	6	118	8.6	TBD	TBD	TBD
